#,source,ID,Ntrials,transconductance,std_transconductance,coating_on_top.sol_label,coating_on_top.substrate_label,coating_on_top.vel,coating_on_top.T,ml_transconductance,ml_transconductance_std
0,train,6a48,1,247.193094,4.206184839,50mg/ml,250nm,1,80,0,0
1,train,7d3b,1,272.852402,37.98415261,40mg/ml,500nm,2,70,0,0
2,train,a387,1,899.5824605,30.16108452,50mg/ml,1000nm,0.2,100,0,0
3,train,0bce,2,224.1287734,12.35828547,60mg/ml,1000nm,0.8,70,0,0
4,train,d5df,1,270.2021886,87.66043501,40mg/ml,500nm,0.7,100,0,0
5,train,f07d,2,237.9033275,51.56436841,60mg/ml,500nm,0.5,160,0,0
6,train,f714,1,249.6567382,4.909246138,60mg/ml,1000nm,0.3,130,0,0
7,train,64bc,1,729.3569841,111.4610858,50mg/ml,250nm,0.9,170,0,0
8,train,32ac,2,446.9718161,142.4235387,40mg/ml,500nm,0.3,180,324.7192648,543.1723634
9,train,9084,1,690.9604981,42.47229706,50mg/ml,250nm,0.1,180,374.8890181,518.052283
10,train,6.00E+73,1,166.749512,4.73921685,30mg/ml,250nm,0.3,180,626.6412082,484.441092
11,train,9993,2,616.8748083,15.09265815,60mg/ml,500nm,0.2,100,0,0
12,train,7493,1,745.7641957,29.7759927,40mg/ml,1000nm,0.1,100,0,0
13,train,d27e,1,712.9693209,20.661443,60mg/ml,1000nm,0.1,80,0,0
14,train,289f,2,757.5079379,161.4159837,100mg/ml,250nm,0.1,70,0,0
15,train,052e,1,311.241219,33.77938026,100mg/ml,1000nm,0.2,90,0,0
16,train,18d9,1,412.8054133,139.3506827,80mg/ml,500nm,0.3,100,0,0
17,train,c1b7,1,347.7845762,66.49621665,80mg/ml,250nm,0.1,120,0,0
18,train,e8d0,2,363.5447948,31.06227539,80mg/ml,1000nm,0.2,90,0,0
19,train,8a46,1,668.3746569,61.48631233,80mg/ml,1000nm,0.2,90,0,0
20,train,a1e9,1,690.3719419,59.5086955,80mg/ml,1000nm,0.1,80,0,0
21,gpr,de5e,1,481.2678623,4.569127929,100mg/ml,500nm,0.2,70,610.90197,470.5667934
22,gpr,10ca,3,752.4952523,188.4755704,100mg/ml,500nm,0.1,70,601.3395966,464.1956503
23,gpr,57ed,1,312.5704542,13.0507144,100mg/ml,1000nm,0.2,70,617.0436239,447.48928
24,gpr,890c,1,358.9644594,11.87485879,100mg/ml,250nm,0.3,70,598.6002017,459.2519348
25,gpr,cc29,5,604.3098177,54.54797459,40mg/ml,1000nm,0.1,70,533.9518859,517.1823242
26,gpr,9266,3,944.8459725,204.7002463,40mg/ml,1000nm,0.2,70,0,0
27,gpr,b441,1,820.2019854,101.5497027,40mg/ml,1000nm,0.3,70,588.9839189,506.5241374
28,gpr,60ee,1,658.8909476,70.05957712,40mg/ml,1000nm,0.4,70,865.6128221,647.3345263
29,gpr,279b,1,503.8529493,39.65789343,40mg/ml,1000nm,0.5,70,875.3057935,647.45016
30,gpr,e2e8,1,429.7272668,76.04000945,40mg/ml,1000nm,0.6,70,856.7133326,637.9276823
31,gpr,4bc0,1,920.4048938,17.77870236,60mg/ml,1000nm,0.1,70,848.5868199,628.1850885
32,gpr,1177,2,1031.878209,134.3736057,40mg/ml,500nm,0.2,70,867.0820615,616.3314618
33,gpr,2de7,2,540.733933,51.50257696,40mg/ml,500nm,0.1,70,926.1526672,671.6111019
34,gpr,04c1,2,1010.134864,63.41496385,40mg/ml,500nm,0.3,70,933.9114677,671.5687039
35,gpr,943b,2,437.0322307,161.6460616,40mg/ml,500nm,0.5,70,950.5875136,664.9999566
36,gpr,9a8f,2,530.2689355,50.50423202,40mg/ml,250nm,0.1,70,952.4513388,673.8816772
37,gpr,65ef,2,703.3157986,194.870504,40mg/ml,250nm,0.4,70,958.0704812,665.157633
38,gpr,27b5,2,934.3550666,343.1871151,40mg/ml,250nm,0.2,70,968.7560811,657.9972978
39,gpr,7c5e,2,794.5969364,74.55718836,40mg/ml,250nm,0.3,70,1045.220986,710.5604463
40,gpr,a899,2,480.7980888,32.06296837,40mg/ml,250nm,0.5,70,1061.318741,706.4119154
41,gpr,bab8,2,465.4600652,37.30979536,40mg/ml,500nm,1,70,1049.523392,702.2952463
42,gpr,e6dd,2,310.2921639,84.76326832,40mg/ml,500nm,5,70,1002.086125,655.6472693
43,rf,2819,2,500.1085713,33.82116924,40mg/ml,250nm,0.05,50,1028.490425,427.4850312
44,rf,692f,2,261.75,49.25705838,100mg/ml,500nm,0.05,70,1074.985239,359.6455581
45,rf,9.10E+09,2,842.193573,72.17879471,30mg/ml,500nm,0.2,60,827.2884607,347.1364529
46,rf,a13e,2,784.7404981,67.73690782,40mg/ml,500nm,0.15,70,982.5815243,235.1670237
47,rf,361c,2,1105.92237,10.37686782,40mg/ml,500nm,0.3,80,830.8217735,312.5369435
48,rf,9c95,2,1088.049645,25.10744548,40mg/ml,500nm,0.35,80,1003.366606,273.0193
49,rf,7596,2,1123.911749,150.5596497,40mg/ml,500nm,0.35,90,1025.819863,333.8497209
50,rf,7078,2,669.5683978,86.7114779,30mg/ml,500nm,0.35,110,876.2835222,336.4697741
51,rf,9420,2,852.2900206,164.9114143,50mg/ml,500nm,0.35,100,911.3390399,311.7370708
52,rf,9471,2,1097.398443,54.47770791,40mg/ml,250nm,0.25,80,1164.580799,314.5188073
53,rf,b789,2,1275.10178,66.543176,40mg/ml,250nm,0.2,80,942.2044789,265.6656154
54,rf,5dc5,2,895.8395237,110.1808911,40mg/ml,250nm,0.2,90,1158.463564,291.3764123
55,rf,ab39,2,1238.267524,1.247822413,40mg/ml,250nm,0.35,80,1075.539926,249.1887661
56,rf,ae3e,2,744.5492968,15.62098327,40mg/ml,500nm,0.2,80,1147.571472,278.0419856
57,rf,b792,2,1137.41685,43.96344423,40mg/ml,250nm,0.4,80,992.1932889,346.3484395
58,rf,3.00E+82,2,379.659905,35.3214367,30mg/ml,250nm,0.15,80,993.2152313,326.0385049
59,rf,9184,2,668.2085,99.49487386,50mg/ml,250nm,0.35,80,1104.339669,256.1934123
60,rf,4b58,2,661.4935747,120.0575057,30mg/ml,250nm,0.4,80,938.8229366,309.7381558
61,rf,9548,2,1011.632099,141.172595,40mg/ml,500nm,0.4,80,984.0124549,272.7332211
62,rf,fc59,2,1165.56211,130.4907437,50mg/ml,250nm,0.2,80,867.0243297,306.3621988
63,rf,6.00E+32,2,1272.217696,45.20179547,50mg/ml,250nm,0.2,90,960.8090301,288.7833858
